fecha,producto,region,unidades,precio_unitario,anio,mes,ingreso
2025-01-01,Laptop,Centro,10,789.78,2025,Jan,7897.8
2025-01-01,Mouse,Sur,5,466.72,2025,Jan,2333.6
2025-01-01,Teclado,Centro,16,607.34,2025,Jan,9717.44
2025-01-01,Monitor,Centro,39,533.55,2025,Jan,20808.45
2025-02-01,Laptop,Norte,15,568.04,2025,Feb,8520.6
2025-02-01,Mouse,Centro,27,254.41,2025,Feb,6869.07
2025-02-01,Teclado,Centro,18,484.1,2025,Feb,8713.8
2025-02-01,Monitor,Sur,23,170.2,2025,Feb,3914.6
2025-03-01,Laptop,Centro,41,293.75,2025,Mar,12043.75
2025-03-01,Mouse,Sur,20,803.63,2025,Mar,16072.6
2025-03-01,Teclado,Centro,48,174.6,2025,Mar,8380.8
2025-03-01,Monitor,Sur,32,452.47,2025,Mar,14479.04
2025-04-01,Laptop,Norte,49,202.88,2025,Apr,9941.12
2025-04-01,Mouse,Sur,35,475.98,2025,Apr,16659.3
2025-04-01,Teclado,Centro,57,156.69,2025,Apr,8931.33
2025-04-01,Monitor,Sur,11,828.37,2025,Apr,9112.07
2025-05-01,Laptop,Norte,50,894.95,2025,May,44747.5
2025-05-01,Mouse,Centro,56,437.19,2025,May,24482.64
2025-05-01,Teclado,Norte,31,289.25,2025,May,8966.75
2025-05-01,Monitor,Sur,21,463.88,2025,May,9741.48
2025-06-01,Laptop,Centro,11,263.5,2025,Jun,2898.5
2025-06-01,Mouse,Sur,19,691.0,2025,Jun,13129.0
2025-06-01,Teclado,Norte,57,111.06,2025,Jun,6330.42
2025-06-01,Monitor,Norte,44,467.81,2025,Jun,20583.64
2025-07-01,Laptop,Norte,16,820.15,2025,Jul,13122.4
2025-07-01,Mouse,Norte,59,208.26,2025,Jul,12287.34
2025-07-01,Teclado,Sur,12,336.35,2025,Jul,4036.2
2025-07-01,Monitor,Centro,6,771.65,2025,Jul,4629.9
2025-08-01,Laptop,Norte,48,644.58,2025,Aug,30939.84
2025-08-01,Mouse,Centro,42,362.76,2025,Aug,15235.92
2025-08-01,Teclado,Norte,60,219.7,2025,Aug,13182.0
2025-08-01,Monitor,Norte,30,351.45,2025,Aug,10543.5
2025-09-01,Laptop,Sur,55,501.01,2025,Sep,27555.55
2025-09-01,Mouse,Norte,25,507.7,2025,Sep,12692.5
2025-09-01,Teclado,Sur,54,18.66,2025,Sep,1007.64
2025-09-01,Monitor,Norte,17,579.65,2025,Sep,9854.05
2025-10-01,Laptop,Norte,23,66.02,2025,Oct,1518.46
2025-10-01,Mouse,Norte,22,53.08,2025,Oct,1167.76
2025-10-01,Teclado,Centro,6,789.42,2025,Oct,4736.52
2025-10-01,Monitor,Sur,56,273.94,2025,Oct,15340.64
2025-11-01,Laptop,Sur,49,690.05,2025,Nov,33812.45
2025-11-01,Mouse,Centro,58,340.56,2025,Nov,19752.48
2025-11-01,Teclado,Centro,46,788.05,2025,Nov,36250.3
2025-11-01,Monitor,Centro,53,41.04,2025,Nov,2175.12
2025-12-01,Laptop,Sur,32,503.56,2025,Dec,16113.92
2025-12-01,Mouse,Norte,54,227.62,2025,Dec,12291.48
2025-12-01,Teclado,Norte,27,798.05,2025,Dec,21547.35
2025-12-01,Monitor,Centro,8,422.31,2025,Dec,3378.48
